Nome,ALG FTP,FM 23-24,FM 22-23,FM 21-22,attributi,Res. Inf.
LAURIENTE',64/100,nd,6.51,7.18,"['Outsider', 'Titolare']",40%
De Luca,52/100,nd,nd,5.50,"['Panchinaro', 'Giovane talento']",60%
TAMEZE,57/100,5.81,5.76,5.77,"['Titolare', 'Falloso']",80%
NERES,71/100,6.75,nd,nd,"['Outsider', 'Titolare', 'Assistman', 'Piazzati']",60%
BALDANZI,66/100,5.95,6.28,6.58,"['Outsider', 'Panchinaro', 'Buona Media', 'Goleador', 'Giovane talento']",60%
De Ketelaere,82/100,7.02,7.39,5.74,"['Fuoriclasse', 'Panchinaro', 'Goleador', 'Assistman', 'Piazzati', 'Falloso', 'Giovane talento']",60%
FRIGAN,67/100,nd,nd,nd,"['Outsider', 'Panchinaro', 'Goleador', 'Falloso', 'Giovane talento']",60%
DOVBYK,83/100,7.10,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Goleador', 'Rigorista']",60%
CASTELLANOS,87/100,7.07,6.12,nd,"['Titolare', 'Goleador', 'Rigorista', 'Falloso']",60%
CAMBIAGHI,71/100,6.50,6.20,6.90,"['Outsider', 'Titolare', 'Buona Media', 'Giovane talento']",60%
PROVSTGAARD,53/100,6.50,nd,nd,['Panchinaro'],60%
RODRIGUEZ,67/100,nd,nd,nd,"['Panchinaro', 'Goleador', 'Giovane talento']",60%
IDRISSI,60/100,nd,nd,nd,"['Titolare', 'Giovane talento']",60%
MCKENNIE,77/100,6.22,6.33,5.97,"['Panchinaro', 'Buona Media', 'Falloso']",60%
PIEROTTI,59/100,6.12,6.25,nd,"['Outsider', 'Titolare', 'Buona Media', 'Giovane talento']",60%
SUZUKI,77/100,4.79,nd,nd,['Titolare'],60%
N/A,N/A,N/A,N/A,N/A,[],N/A
DIAO,67/100,8.07,nd,nd,"['Titolare', 'Goleador', 'Rigorista', 'Giovane talento']",80%
ANGELINO,88/100,6.33,5.82,nd,"['Outsider', 'Titolare', 'Buona Media', 'Assistman']",60%
BALOGH,58/100,5.69,nd,nd,"['Titolare', 'Falloso', 'Giovane talento']",60%
