NomeFCP,Ruolo,SquadraFCP,ALG,FM1,FM2,FM3,Attributi,ResInf
KOVAC NIKO,C,Lecce,50/100,nd,nd,nd,Panchinaro | Buona Media | Giovane talento,60%
AZZOUZI ANOUAR EL,C,Frosinone,50/100,nd,nd,nd,Panchinaro,60%
FANNE LAMINE,C,Venezia,49/100,nd,nd,nd,Panchinaro,60%
HELGASON THORIR J.,C,Venezia,49/100,5.63,6.25,nd,Titolare | Piazzati,40%
CYPRIEN WYLAN,C,Parma,49/100,nd,5.75,nd,Panchinaro,60%
BERISHA MEDON,C,Lecce,49/100,6.92,nd,nd,Outsider | Panchinaro,60%
BJARKASON BJARKI STEINN,C,Venezia,49/100,nd,5.75,nd,Panchinaro,60%
GORTER OLAF,C,Lecce,48/100,nd,nd,nd,Panchinaro | Giovane talento,80%
HASA LUIS,C,Frosinone,48/100,nd,nd,nd,Panchinaro | Assistman | Falloso | Giovane talento,60%
KONE BEN LHASSINE,C,Frosinone,48/100,nd,nd,nd,Panchinaro,60%
FOFANA SADIK,C,Lecce,46/100,5.50,nd,nd,Panchinaro | Falloso,40%
CAMARA DRISSA,C,Parma,45/100,nd,5.92,nd,Panchinaro | Falloso | Giovane talento,40%
GELLI FRANCESCO,C,Frosinone,42/100,nd,nd,5.76,Panchinaro | Falloso,60%
OULAÏ CHRIST INAO,C,Fiorentina,0/100,nd,nd,nd,Titolare | Buona Media | Assistman | Giovane talento,60%
THURAM MARCUS,A,Inter,95/100,7.95,7.72,7.95,Fuoriclasse | Titolare | Buona Media | Goleador | Assistman,60%
MARTINEZ LAUTARO,A,Inter,93/100,8.25,7.61,8.81,Fuoriclasse | Titolare | Buona Media | Goleador | Rigorista,80%
DOUVIKAS ANASTASIOS,A,Como,91/100,7.38,6.75,nd,Outsider | Titolare | Goleador | Rigorista,60%
YILDIZ KENAN,A,Juventus,88/100,7.30,7.02,6.09,Outsider | Titolare | Goleador | Rigorista | Piazzati | Giovane talento,60%
SIMEONE GIOVANNI,A,Torino,88/100,7.09,6.11,5.83,Outsider | Titolare | Goleador,60%
MALEN DONYELL,A,Roma,87/100,8.84,nd,nd,Outsider | Titolare | Goleador,60%
COLOMBO LORENZO,A,Genoa,86/100,6.41,6.32,6.39,Titolare | Goleador | Rigorista | Falloso | Giovane talento,60%
HOJLUND RASMUS,A,Napoli,86/100,7.56,nd,nd,Outsider | Titolare | Goleador,60%
CONCEICAO FRANCISCO,A,Juventus,85/100,6.70,6.50,nd,Outsider | Panchinaro | Piazzati | Falloso | Giovane talento,60%
VLAHOVIC DUSAN,A,Juventus,84/100,7.31,7.48,7.60,Panchinaro | Buona Media | Goleador | Rigorista | Piazzati,60%
