Nome,Squadra,Presenze,MediaVoto,Fantamedia,Gol,GolSubiti,Rigori,RigoriParati,Assist,Ammonizioni,Espulsioni
Mandragora,FIO,27.0,6.19,6.67,4.0,0.0,1 / 1,0.0,4.0,7.0,0.0
Charpentier,PAR,9.0,6.17,6.67,1.0,0.0,0 / 0,0.0,2.0,1.0,0.0
Vlasic,TOR,30.0,6.07,6.67,5.0,0.0,2 / 2,0.0,3.0,0.0,0.0
Barella,INT,33.0,6.26,6.65,3.0,0.0,0 / 0,0.0,6.0,4.0,0.0
Dele-Bashiru,LAZ,17.0,6.06,6.65,3.0,0.0,0 / 0,0.0,1.0,0.0,0.0
Anjorin,EMP,22.0,6.3,6.64,2.0,0.0,0 / 0,0.0,3.0,3.0,0.0
Carlos Augusto,INT,28.0,6.2,6.61,3.0,0.0,0 / 0,0.0,3.0,1.0,0.0
Djuric,PAR,23.0,6.0,6.61,5.0,0.0,0 / 0,0.0,1.0,4.0,0.0
Zortea,CAG,35.0,6.07,6.6,6.0,0.0,0 / 0,0.0,2.0,3.0,0.0
Maldini,ATA,27.0,6.02,6.59,6.0,0.0,0 / 0,0.0,0.0,5.0,0.0
Cristante,ROM,28.0,6.2,6.59,4.0,0.0,0 / 0,0.0,3.0,8.0,0.0
Gosens,FIO,32.0,6.12,6.59,5.0,0.0,0 / 0,0.0,3.0,6.0,0.0
Bove,FIO,12.0,6.29,6.58,1.0,0.0,0 / 0,0.0,2.0,3.0,0.0
Correa,INT,15.0,6.13,6.57,2.0,0.0,0 / 0,0.0,2.0,3.0,0.0
Asllani,INT,16.0,6.16,6.56,2.0,0.0,2 / 2,0.0,2.0,3.0,0.0
Bastoni,INT,32.0,6.42,6.55,1.0,0.0,0 / 0,0.0,4.0,4.0,1.0
De Vrij,INT,22.0,6.18,6.55,3.0,0.0,0 / 0,0.0,0.0,2.0,0.0
De Roon,ATA,36.0,6.15,6.53,4.0,0.0,0 / 0,0.0,4.0,5.0,0.0
Nicolussi Caviglia,VEN,35.0,6.2,6.53,4.0,0.0,0 / 0,0.0,3.0,5.0,1.0
Bonny,PAR,37.0,6.03,6.51,6.0,0.0,2 / 3,0.0,4.0,2.0,0.0
Cambiaghi,BOL,17.0,6.15,6.5,1.0,0.0,0 / 0,0.0,3.0,0.0,0.0
Tavares N.,LAZ,23.0,6.28,6.5,0.0,0.0,0 / 0,0.0,7.0,2.0,1.0
Padelli,UDI,1.0,6.5,6.5,0.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Conceicao,JUV,25.0,6.12,6.5,3.0,0.0,0 / 0,0.0,3.0,3.0,1.0
Provstgaard,LAZ,1.0,6.5,6.5,0.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Ederson D.s.,ATA,36.0,6.17,6.49,4.0,0.0,0 / 0,0.0,2.0,3.0,1.0
Fabbian,BOL,22.0,6.09,6.48,3.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Bernabe',PAR,19.0,6.29,6.47,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Buongiorno,NAP,22.0,6.36,6.45,1.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Man,PAR,32.0,5.95,6.45,4.0,0.0,0 / 0,0.0,4.0,0.0,0.0
Mazzitelli,COM,8.0,6.0,6.44,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Malinovskyi,GEN,9.0,6.33,6.44,0.0,0.0,0 / 0,0.0,2.0,2.0,0.0
Vecino,LAZ,18.0,6.14,6.44,2.0,0.0,0 / 0,0.0,3.0,7.0,0.0
Belotti,COM,12.0,5.96,6.42,2.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Beltran L.,FIO,30.0,5.98,6.42,5.0,0.0,2 / 3,0.0,4.0,6.0,0.0
Bremer,JUV,6.0,6.5,6.42,0.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Miretti,GEN,25.0,5.98,6.42,3.0,0.0,0 / 0,0.0,3.0,2.0,0.0
Politano,NAP,37.0,6.11,6.42,3.0,0.0,0 / 0,0.0,4.0,3.0,0.0
Hernani,PAR,25.0,6.08,6.42,3.0,0.0,3 / 3,0.0,3.0,7.0,0.0
Joao Felix,MIL,12.0,6.04,6.42,2.0,0.0,0 / 0,0.0,0.0,3.0,0.0
Dallinga,BOL,23.0,5.96,6.41,3.0,0.0,0 / 0,0.0,2.0,1.0,0.0
Marin,CAG,27.0,6.07,6.41,3.0,0.0,2 / 2,0.0,2.0,4.0,0.0
Gaetano,CAG,27.0,6.04,6.41,2.0,0.0,0 / 0,0.0,4.0,0.0,0.0
Zappacosta,ATA,30.0,5.98,6.4,4.0,0.0,0 / 0,0.0,2.0,3.0,0.0
Cataldi,FIO,24.0,6.04,6.4,3.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Harroui,VER,10.0,5.95,6.4,1.0,0.0,0 / 0,0.0,2.0,1.0,0.0
Keita B.,MON,10.0,5.9,6.4,2.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Koopmeiners,JUV,28.0,5.98,6.39,3.0,0.0,0 / 0,0.0,4.0,3.0,0.0
Ferguson,BOL,14.0,6.11,6.39,1.0,0.0,1 / 1,0.0,1.0,0.0,0.0
Colombo,EMP,36.0,5.9,6.39,6.0,0.0,1 / 1,0.0,2.0,3.0,1.0
Davis K.,UDI,16.0,6.0,6.38,2.0,0.0,0 / 0,0.0,1.0,2.0,0.0
Kone' M.,ROM,33.0,6.26,6.38,2.0,0.0,0 / 0,0.0,1.0,6.0,0.0
Gonzalez N.,JUV,23.0,5.96,6.37,3.0,0.0,0 / 0,0.0,2.0,3.0,0.0
Darmian,INT,26.0,6.08,6.37,3.0,0.0,0 / 0,0.0,2.0,3.0,0.0
Noslin,LAZ,19.0,6.0,6.37,2.0,0.0,0 / 0,0.0,2.0,2.0,0.0
Pavoletti,CAG,11.0,5.95,6.36,2.0,0.0,0 / 0,0.0,0.0,5.0,0.0
Da Cunha,COM,35.0,6.1,6.36,3.0,0.0,0 / 0,0.0,2.0,4.0,0.0
Di Lorenzo,NAP,37.0,6.15,6.36,3.0,0.0,0 / 0,0.0,2.0,6.0,0.0
Sensi,MON,7.0,5.93,6.36,1.0,0.0,1 / 1,0.0,0.0,0.0,0.0
Birindelli,MON,20.0,5.95,6.35,3.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Isaksen,LAZ,37.0,6.05,6.34,4.0,0.0,0 / 0,0.0,1.0,5.0,0.0
Oristanio,VEN,37.0,6.05,6.34,3.0,0.0,0 / 0,0.0,3.0,3.0,0.0
Bisseck,INT,27.0,6.0,6.33,3.0,0.0,0 / 0,0.0,2.0,4.0,0.0
Jovic,MIL,12.0,5.88,6.33,2.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Abraham,MIL,24.0,5.94,6.33,3.0,0.0,1 / 2,0.0,4.0,1.0,0.0
Billing,NAP,6.0,5.92,6.33,1.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Fila,VEN,9.0,5.83,6.33,2.0,0.0,0 / 0,0.0,0.0,1.0,1.0
Martin,GEN,36.0,6.17,6.32,0.0,0.0,0 / 0,0.0,8.0,5.0,0.0
Zielinski,INT,20.0,5.98,6.32,2.0,0.0,2 / 2,0.0,1.0,0.0,0.0
Angelino,ROM,38.0,6.14,6.32,2.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Ekuban,GEN,18.0,6.0,6.31,1.0,0.0,0 / 0,0.0,3.0,1.0,0.0
Cambiaso,JUV,32.0,6.09,6.31,2.0,0.0,0 / 0,0.0,3.0,4.0,0.0
Mota,MON,31.0,5.84,6.31,5.0,0.0,0 / 0,0.0,1.0,3.0,0.0
Lazovic,VER,24.0,5.94,6.31,2.0,0.0,1 / 1,0.0,3.0,0.0,0.0
Viola,CAG,25.0,5.94,6.3,3.0,0.0,0 / 0,0.0,1.0,2.0,0.0
Mosquera,VER,33.0,5.88,6.3,5.0,0.0,0 / 0,0.0,1.0,4.0,0.0
Hernandez T.,MIL,33.0,6.02,6.29,4.0,0.0,0 / 1,0.0,3.0,4.0,1.0
Solet,UDI,19.0,6.16,6.29,1.0,0.0,0 / 0,0.0,1.0,1.0,1.0
Caprari,MON,30.0,5.97,6.28,3.0,0.0,2 / 2,0.0,2.0,3.0,0.0
Bravo,UDI,16.0,6.0,6.28,2.0,0.0,0 / 0,0.0,0.0,3.0,0.0
Coman F.,CAG,9.0,6.06,6.28,1.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Ekkelenkamp,UDI,33.0,5.97,6.27,3.0,0.0,0 / 0,0.0,2.0,2.0,0.0
Casadei,TOR,15.0,6.03,6.27,1.0,0.0,0 / 0,0.0,1.0,1.0,0.0
Locatelli,JUV,35.0,6.19,6.26,2.0,0.0,1 / 1,0.0,1.0,9.0,0.0
Sohm,PAR,37.0,6.03,6.26,4.0,0.0,0 / 0,0.0,0.0,7.0,0.0
Mancini,ROM,37.0,6.18,6.26,2.0,0.0,0 / 0,0.0,1.0,8.0,0.0
Bellanova,ATA,35.0,6.04,6.26,0.0,0.0,0 / 0,0.0,9.0,3.0,0.0
