Squadra,Ruolo,Slot,Nomi
Lazio,C,1,Taylor K.
Lazio,C,2,Rovella|Cataldi
Lazio,C,3,Dele-Bashiru
Lazio,A,1,Isaksen|Cancellieri
Lazio,A,2,Noslin
Lazio,A,3,Zaccagni
Lecce,P,1,Falcone
Lecce,D,1,Veiga D.
Lecce,D,2,Tiago Gabriel
Lecce,D,3,Siebert
Lecce,D,4,Gallo
Lecce,C,1,Coulibaly L.
Lecce,C,2,Berisha M.|Ngom
Lecce,C,3,Gandelman
Lecce,A,1,Pierotti
Lecce,A,2,Geubbels|Stulic
Lecce,A,3,N'dri
Milan,P,1,Maignan
Milan,D,1,Gila
Milan,D,2,Gabbia
Milan,D,3,Pavlovic
Milan,C,1,Saelemaekers
Milan,C,2,Rabiot
Milan,C,3,Modric
Milan,C,4,Bartesaghi
Milan,A,1,Pulisic
Milan,A,2,Leao|Nkunku
Monza,P,1,Thiam
Monza,D,1,Kouadio
Monza,D,2,Delli Carri
Monza,D,3,Carboni A.
Monza,C,1,Birindelli
Monza,C,2,Akinsanmiro|Colombo L.
Monza,C,3,Pessina
Monza,C,4,Mangas
Monza,A,1,Colpani|Ciurria
Monza,A,2,Mota|Ciurria
Napoli,P,1,Meret
Napoli,D,1,Di Lorenzo
Napoli,D,2,Rrahmani
Napoli,D,3,Marin R.|Olivera
Napoli,D,4,Spinazzola
Napoli,C,1,De Bruyne
Napoli,C,2,Lobotka
Napoli,C,3,Mctominay
Napoli,A,1,Neres
Napoli,A,2,Hojlund
Napoli,A,3,Santos A.|Politano
Parma,P,1,Corvi|Daffara
Parma,D,1,Delprato
Parma,D,2,Troilo
Parma,D,3,Circati
Parma,D,4,Valeri
Parma,C,1,Bernabè
Parma,C,2,Keita M.
Parma,C,3,Nicolussi Caviglia|Sorensen O.
Parma,A,1,Frigan|Ondrejka
Parma,A,2,Pellegrino M.
Parma,A,3,Tourè E.|Diallo O
Roma,P,1,Svilar
Roma,D,1,Mancini
Roma,D,2,N'dicka
Roma,D,3,Koulierakis|Hermoso
Roma,C,1,Molina N.
Roma,C,2,Cristante
Roma,C,3,Konè M.
Roma,C,4,Wesley
Roma,A,1,Soulè|Pellegrini Lo.
Roma,A,2,Dybala|Castro S.
Sassuolo,P,1,Muric|Turati
Sassuolo,D,1,Missori
Sassuolo,D,2,Walukiewicz|Candè
Sassuolo,D,3,Idzes
Sassuolo,D,4,Doig
Sassuolo,C,1,Matic
Sassuolo,C,2,Lipani|Konè I.
Sassuolo,A,1,Berardi
Sassuolo,A,2,Thorstvedt
Sassuolo,A,3,Laurientè|Dominguez B.
Torino,P,1,Paleari
Torino,D,1,Ismajli
Torino,D,2,Coco
Torino,D,3,Comuzzo|Comert
Torino,C,1,Pedersen
Torino,C,2,Casadei
Torino,C,3,Fitz-Jim|Gineitis
Torino,C,4,Cacciamani
Torino,A,1,Oristanio|Adams C.
Torino,A,2,Vlasic
Udinese,P,1,Okoye
Udinese,D,1,Kabasele
Udinese,D,2,Kristensen T.
